         ps       /dss_tb/clkin        /dss_tb/testout1          
          delta        /dss_tb/datain     /dss_tb/testout        
                               /dss_tb/dataout                   
          0  +0               U UUUUU UUUUUUUU UUUUUUUU U 
          0  +1               0 00010 00000000 UUUUUUUU U 
          0  +2               0 00010 00000000 UUUUUUUU 0 
          0  +3               0 00010 00000000 00000000 0 
       2500  +1               1 00010 00000000 00000000 0 
       5000  +1               0 00010 00000000 00000000 0 
       7500  +1               1 00010 00000000 00000000 0 
      10000  +1               0 00010 00000000 00000000 0 
      12500  +1               1 00010 00000000 00000000 0 
      12500  +5               1 00010 00000000 00000011 0 
      15000  +1               0 00010 00000000 00000011 0 
      17500  +1               1 00010 00000000 00000011 0 
      17500  +4               1 00010 00000011 00000011 0 
      17500  +5               1 00010 00000110 00000110 0 
      20000  +1               0 00010 00000110 00000110 0 
      22500  +1               1 00010 00000110 00000110 0 
      22500  +4               1 00010 00000000 00000110 0 
      22500  +5               1 00010 00000000 00001000 0 
      25000  +1               0 00010 00000000 00001000 0 
      27500  +1               1 00010 00000000 00001000 0 
      27500  +4               1 00010 00001000 00001000 0 
      27500  +5               1 00010 00001011 00001011 0 
      30000  +1               0 00010 00001011 00001011 0 
      32500  +1               1 00010 00001011 00001011 0 
      32500  +4               1 00010 00000000 00001011 0 
      32500  +5               1 00010 00000000 00001101 0 
      35000  +1               0 00010 00000000 00001101 0 
      37500  +1               1 00010 00000000 00001101 0 
      37500  +4               1 00010 00001101 00001101 0 
      37500  +5               1 00010 00001110 00001110 0 
      40000  +1               0 00010 00001110 00001110 0 
      42500  +1               1 00010 00001110 00001110 0 
      42500  +4               1 00010 00000000 00001110 0 
      42500  +5               1 00010 00000000 00001111 0 
      45000  +1               0 00010 00000000 00001111 0 
      47500  +1               1 00010 00000000 00001111 0 
      47500  +4               1 00010 00001111 00001111 0 
      50000  +1               0 00010 00001111 00001111 0 
      52500  +1               1 00010 00001111 00001111 0 
      52500  +4               1 00010 00000000 00001111 0 
      55000  +1               0 00010 00000000 00001111 0 
      57500  +1               1 00010 00000000 00001111 0 
      57500  +4               1 00010 00001111 00001111 0 
      57500  +5               1 00010 00001110 00001110 0 
      60000  +1               0 00010 00001110 00001110 0 
      62500  +1               1 00010 00001110 00001110 0 
      62500  +4               1 00010 00000000 00001110 0 
      62500  +5               1 00010 00000000 00001100 0 
      65000  +1               0 00010 00000000 00001100 0 
      67500  +1               1 00010 00000000 00001100 0 
      67500  +4               1 00010 00001100 00001100 0 
      67500  +5               1 00010 00001010 00001010 0 
      70000  +1               0 00010 00001010 00001010 0 
      72500  +1               1 00010 00001010 00001010 0 
      72500  +4               1 00010 00000000 00001010 0 
      72500  +5               1 00010 00000000 00001000 0 
      75000  +1               0 00010 00000000 00001000 0 
      77500  +1               1 00010 00000000 00001000 0 
      77500  +4               1 00010 00001000 00001000 0 
      77500  +5               1 00010 00000101 00000101 0 
      80000  +1               0 00010 00000101 00000101 0 
